1DOJ,1Z0,[H]/N=C(\N)/NCCC[C@@H](C(=O)c1nc2ccc(cc2s1)C(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc4ccccc4)NC
1DX5,0GJ,C(C[C@@H]([C@@H](CCl)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)N)CNC(=[NH2+])N
1G30,T87,[H]/N=C(/c1ccc(cc1)NCc2nc3cc(ccc3n2C)C4(CC4)/C(=N\OCC(=O)OCC)/c5ccccn5)\N
1G32,R11,[H]/N=C(/c1ccc(cc1)NCc2nc3cc(ccc3n2C)Cn4c(nc5c4cccc5)C)\N
1G37,110,CCCCOC(=O)[C@H]([C@H](C1CCC(CC1)N)NC(=O)c2ccc3n2C(=O)CN(C3)S(=O)(=O)Cc4ccccc4)O
1GHV,120,c1cc2c(cc1C(=[NH2+])N)nc([nH]2)C3=CC=CNC3=O
1GHW,BMZ,c1ccc(c(c1)c2[nH]c3ccc(cc3n2)C(=[NH2+])N)O
1GHY,121,c1cc(c(nc1)c2[nH]c3ccc(cc3n2)C(=[NH2+])N)O
1GJ4,132,c1ccc(cc1)c2cccc(c2O)c3cc4cc(c(cc4[nH]3)Cl)C(=[NH2+])N
1GJ5,130,[H]/N=C(\c1ccc2c(c1)nc([nH]2)c3cccc(c3O)c4ccccc4)/N
1H8D,PHW,CO/C=C/C[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](C(c2ccccc2)c3ccccc3)NC(=O)OCc4ccccc4)P(O)(O)(Oc5ccccc5)Oc6ccccc6
1H8I,PHV,COCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](C(c2ccccc2)c3ccccc3)NC(=O)OCc4ccccc4)P(=O)(O)O
1JWT,BLI,c1ccc(cc1)CS(=O)(=O)[N@]2C[C@@H]3CC[C@H](N3C(=O)C2)C(=O)NCC4CCN(CC4)C(=NO)N
1K21,IGN,C1CCC(CC1)C[C@H](C(=O)N2CCCC[C@H]2C(=O)NCCCNC(=N)N)NCC(=O)O
1K22,MEL,c1cc(ccc1CNC(=O)[C@@H]2CCN2C(=O)[C@@H](C3CCCCC3)NCC(=O)O)C(=N)N
1KTS,C24,CCOC(=O)CCN(c1ccccn1)C(=O)c2ccc3c(c2)nc(n3C)CNc4ccc(cc4)C(=N)N
1KTT,C02,Cn1c2ccc(cc2nc1Cc3ccc(cc3)C(=N)N)NS(=O)(=O)c4ccccc4
