,scores,pdb,median,tractability
0,12.331999778747559,Mpro,13.109999656677246,unknown
1,12.331999778747559,Mpro,13.109999656677246,unknown
2,12.331999778747559,Mpro,13.109999656677246,unknown
3,12.331999778747559,Mpro,13.109999656677246,unknown
4,12.331999778747559,Mpro,13.109999656677246,unknown
5,12.331999778747559,Mpro,13.109999656677246,unknown
6,12.331999778747559,Mpro,13.109999656677246,unknown
7,12.331999778747559,Mpro,13.109999656677246,unknown
8,12.331999778747559,Mpro,13.109999656677246,unknown
9,13.803000450134277,Mpro,13.109999656677246,unknown
10,13.803000450134277,Mpro,13.109999656677246,unknown
11,13.803000450134277,Mpro,13.109999656677246,unknown
12,13.803000450134277,Mpro,13.109999656677246,unknown
13,13.803000450134277,Mpro,13.109999656677246,unknown
14,13.803000450134277,Mpro,13.109999656677246,unknown
15,13.803000450134277,Mpro,13.109999656677246,unknown
16,13.803000450134277,Mpro,13.109999656677246,unknown
17,13.803000450134277,Mpro,13.109999656677246,unknown
18,13.803000450134277,Mpro,13.109999656677246,unknown
19,13.803000450134277,Mpro,13.109999656677246,unknown
20,13.803000450134277,Mpro,13.109999656677246,unknown
21,13.803000450134277,Mpro,13.109999656677246,unknown
22,13.803000450134277,Mpro,13.109999656677246,unknown
23,13.803000450134277,Mpro,13.109999656677246,unknown
24,13.803000450134277,Mpro,13.109999656677246,unknown
25,13.803000450134277,Mpro,13.109999656677246,unknown
26,13.803000450134277,Mpro,13.109999656677246,unknown
27,11.588000297546387,Mpro,13.109999656677246,unknown
28,11.588000297546387,Mpro,13.109999656677246,unknown
29,11.588000297546387,Mpro,13.109999656677246,unknown
30,11.670000076293945,Mpro,13.109999656677246,unknown
31,11.670000076293945,Mpro,13.109999656677246,unknown
32,11.670000076293945,Mpro,13.109999656677246,unknown
33,11.588000297546387,Mpro,13.109999656677246,unknown
34,11.718999862670898,Mpro,13.109999656677246,unknown
35,11.98799991607666,Mpro,13.109999656677246,unknown
