,constraint,enrichment factor,search efficiency,time
0,0,5.437352245862884,1,0.388
1,10,9.692671394799053,1,0.464
2,0,5.200945626477541,10,0.952
3,10,11.347517730496453,10,1.064
4,0,6.146572104018912,100,7.212
5,10,11.347517730496453,100,7.884
